,会社名,求人タイトル
315,株式会社シンヨー運輸 | 不況知らず・売上好調の食品輸送！全額会社負担で免許取得を支援,未経験OK【ルート配送】◎入社半年で月収40万円も可能 正社員
316,ウィンクルム株式会社 | 未経験でも月給25万円以上＋インセンティブ／完全土日休み,フードデリバリーサービスの【提案営業】※土日祝休／月給25万円 正社員
317,株式会社エス・エル・エス福岡 | 総合レジャーサービスグループ(九州全県、広島県に35店舗展開),未経験OK【経営戦略・企画】店舗開発や経営まで幅広く経験できる 正社員
318,ウィンクルム株式会社 | 土日祝日休み ★月給25万円以上＋インセンティブ ★平均年齢27歳,スマホ決済サービスの【提案営業】※土日祝休み／未経験歓迎！ 正社員
319,株式会社ガイア | 月給25万円以上！培ってきた豊富な経験を活かしませんか？,大規模プロジェクト多数【開発許認可・土木設計コンサルタント】 正社員
320,株式会社日本住宅販売 | 【大阪府緊急雇用対策に賛同】★増員募集★人物重視の採用です！,未経験歓迎！既存のお客様への【フォロー営業】週休2日/転勤なし 正社員
321,株式会社エール | 10月23日(土)開催のマイナビ転職フェア福岡に出展＠JR九州ホール,街で見かける似顔絵看板の【営業職】※年収800万円超も可能！ 正社員
322,株式会社京進 | 東証二部上場,【学習塾経営】転職して社員に？いや、次のキャリアは独立だ！ FCオーナー
323,株式会社絆 | 【大阪府緊急雇用対策に賛同】★営業まったくの未経験でもOK！,入社1年目で月収50万可能な【買取営業】テレアポなし☆転勤なし 正社員
324,株式会社ファースト | 【人気の車種がズラリ！カスタムカー専門店】平均年収600万円～,【カーアドバイザー】残業ほぼなし/未経験1年目で月収45万円も可 正社員
325,株式会社平和地建 | 完全週休2日で連休も取得可。20代の若手メンバーが続々と入社中,あなたの成長を、社員全員でバックアップします！【 反響営業 】 正社員
326,UTエイム株式会社 | 【東証一部上場グループ】コロナ禍でも安定して成長中★,未経験歓迎【ものづくりスタッフ】志望動機不問★＜東日本限定＞ 正社員
327,UTエイム株式会社 | 【東証一部上場グループ】コロナ禍でも安定して成長中★,未経験歓迎【ものづくりスタッフ】志望動機不問★＜西日本限定＞ 正社員
328,Garrett Japan合同会社 | 【大人気ポップコーンのお店】★有給消化100％★正社員登用あり,【総合職(店舗管理・製造スタッフ)】★完全週休2日制★年休123日 契約社員
329,サンヨーリフォーム株式会社 | 東証一部上場サンヨーホームズグループ＊完全週休2日！,【リフォーム営業】多彩なインセンティブで稼げる／年休125日 正社員
330,有限会社大津冷凍工業 | 完全週休2日制／月収70万円も目指せる／ポストチャンス拡大中,【総合職（ルート営業・営業アシスタント）】※年休115日 正社員
331,ディライトホーム株式会社 | 理想を叶える家づくり／アメリカンスタイル等が人気を集め成長中,土日休・年休125日／仕入れ中心の【不動産企画営業】※新設部署 正社員
332,明和地所株式会社 | 《東証一部上場のマンションデベロッパー》初任地は希望確約,自社マンションブランド「CLIO」の【提案営業】★未経験OK！ 正社員
333,株式会社　日輪 | 世界有数のメガサプライヤーのDENSO勤務／完全週休2日制,職種未経験OK！【電装部品（半導体など）を中心とした製造業務】 正社員
334,セントレード証券株式会社 | 【2005年に設立した若き証券会社】★完全週休二日★平均年齢34歳,【資産運用コンサルティング】年休120日/昇格チャンス多数あり！ 正社員
335,株式会社プログランス | 新サービス展開中！◆完全週休2日(土日祝)◆有給申請取得率100%,自社WEBサービスの【法人営業】★賞与年3回＋インセンティブ有 正社員
336,株式会社津田 | 環境・リサイクル事業／SDGs推進★未経験でも月給22万円～♪,胸を張って誇れるシゴト！【法人営業】★転勤なし★UIターン歓迎 正社員
337,オーキット株式会社 | #実働7時間 #残業月平均20時間程度 #個人ではなくチームで評価,未経験者大歓迎！！【営業職】完全反響／正社員デビューOK 正社員
338,株式会社ストライクシステム | 関西エリアで年収700~900万円が叶う│大阪府緊急雇用対策に賛同,フリーダムな働き方で売上還元率90％！【SE・PG】前職給与保証 正社員
339,有限会社チャンス | 《千葉エリア中心の中古車販売店》ノルマなし／100%反響型,＼チャンス神栖店　【営業職】オープニングスタッフ募集中／ 正社員
340,井本刃物株式会社 | 創業約100年｜自衛隊や東京消防庁でも当社製品が使われています,未経験歓迎！人気上昇中のDIYツールを手掛ける【製造スタッフ】 正社員
341,アップワン株式会社 | 【IT × 課題解決】コロナ禍でも成長を続けるベンチャー企業,【営業アシスタント】100％内勤／高収入／月給25万円＋インセン 正社員
342,昭和ルーフリモ株式会社 | <大阪府堺市で積極採用中>リモートワーク推進★18～19時には退社,定着率の高さが自慢【やね工事のルート管理スタッフ】★未経験OK 正社員
343,株式会社UPSTART | 平均年齢25歳◆コロナでも安定成長！売上高約10億円,10代20代活躍☆免許不要◎未経験歓迎！月給30万【営業】学歴不問 正社員
344,富士交通株式会社 | ◆新築個室寮完備（寮費半年間無料！）◆年間休日120日以上！,【タクシードライバー】未経験者3ヶ月月給35万保証/月収60万可能 正社員
345,日本INGS株式会社 | 業績好調！売上は前年比の2倍／基本定時退社＆残業ほぼなし,年収1000万円以上も可能！【不動産営業】※土日祝休＆年休120日 正社員
346,株式会社ゲッコー | 連休取得、直行直帰可能！転勤なしで地元で働けます,材料や資材を運ぶ【技術系総合職】未経験でも月給28万～！ 正社員
347,ネクストレベル株式会社 | 超自由な営業／未経験歓迎／直行直帰／出社なし／リモートワーク,★リモートワーク可能な【提案営業】未経験でも年収1000万可★ 正社員
348,株式会社丸八ダイレクト | ◆名証二部上場「丸八グループ」◆WEB面接可◆報奨金・賞与年2回,【販売スタッフ】未経験でも月30万～可★嬉しい社宅有★学歴不問 正社員
349,株式会社エトスコーポレーション | 【大阪府緊急雇用対策に賛同】社員定着率90％で働きやすさ◎,【コンサルティング営業】未経験歓迎★月27万～／20代活躍中！ 正社員
350,日本交通株式会社 | 三鷹営業所★月の約半分がお休み★学歴・経験・転職回数不問★,【エキスパートドライバー候補】無理なく本当の自分らしさで！！ 正社員
351,溝江建設株式会社 | 【 みぞえグループ 】■健康経営優良法人 ■SDGs宣言企業,★福岡からの転勤なし！街づくりに貢献する【建築施工管理】 正社員
352,Cooperative株式会社 | 【大阪府緊急雇用対策に賛同】営業9割以上未経験スタート！,【企画営業】完休2日★月25万スタート！★賞与年3回★高収入獲得 正社員
353,アクティブグループ合同会社 | 実績を正当に評価！自由な環境のもと、あなたが望む未来を実現！,未経験歓迎の【コンサル営業】入社半年で月収例50万円★研修充実 契約社員
354,株式会社Presidents Free Style | 独立支援制度あり／社宅あり／コロン化でも黒字経営で業績UP,富山県も積極採用中☆高収入の【通信工事スタッフ】※未経験歓迎 正社員
355,株式会社窪治組 | ほぼ残業なし★未経験OK★週休2日★実働7.5時間★各種手当充実,未経験OK【技術アシスタントスタッフ】転勤なし・社員寮完備 正社員
356,株式会社コーユー | 【10/16(土)開催 マイナビ転職フェア千葉＠ペリエ千葉に出展】,＼即日内定可／月収40万円以上も目指せる！【警備スタッフ】 正社員
357,株式会社エコスマート | 創業以来10期連続増収増益◆社員定着率92.3％◆年3回長期休み有,【保険の外交員】月給30万以上スタート★経験者優遇★賞与年2回 正社員
358,株式会社ディア | ◎充実のインセン&サポート体制で1年目からシッカリ稼げます♪,"★目指せ1,000万円プレーヤー★【提案営業】応募〆切：10月18日 正社員"
359,株式会社ベルハウジング | ＜ 設立35周年 ＞グッドデザイン賞の住宅／未経験から成長できる,年齢・社歴に関係なく輝ける【営業】年収600万円も可能 正社員
360,株式会社TSSエンジニアリング | ☆転勤なし／資格支援あり ☆親会社の実績もあって安定性抜群！,【プロジェクト管理】★未経験でも高収入／残業月平均5H程度！ 正社員
361,積水ハウス不動産中国四国株式会社 | 【中四国トップクラスの売上高・積水ハウスグループ】賞与年3回,【不動産営業】「あなた」の力を発揮してください！※年休129日 正社員
362,"株式会社クレス不動産 | 物件を""見つける""仕事です。未経験入社で年収1000万円も可能！",【不動産仕入営業】完全週休2日制＊ムリなく稼げる 正社員
363,株式会社SALTO | ベトナムに現地法人設立！グローバル展開も進めるITベンチャー,2022年SALTO改革に向けた【開発エンジニア】募集@首都圏勤務 正社員
364,株式会社SALTO | ベトナムに現地法人設立！グローバル展開も進めるITベンチャー,2022年SALTO改革に向けた【インフラエンジニア】募集@首都圏勤務 正社員
365,真栄建設運輸株式会社 | 【安定感ある岡本グループ】★マイナビからの採用実績複数有り！,【技術系総合職】★除雪&出張&夜勤なし！月収30万円以上も可能！ 正社員
366,株式会社日栄テック | 【大阪府緊急雇用対策に賛同】充実の休暇制度あり／学歴不問,【施工管理】未経験でも月給27万円以上！／20代社員も活躍中★ 正社員
367,株式会社ネクスト21 | <東京大学や理化学研究所と共同研究>土日祝休み/年間休日120日～,"ライフサイエンス系総合職(再生医療人工骨の開発,製造/薬事申請) 正社員"
368,広島建設株式会社 | ～千葉に根差して50年の安定基盤があります～★WEB面接実施中★,◎転勤なし◎分譲住宅・注文住宅の【提案営業】※100％反響型 正社員
369,株式会社ヘルセ | ◆設立以来増収増益 ◆国内40店舗を展開 ◆海外展開もスタート,海外の人気商品を国内に広げる【営業】★将来のマネージャー候補 正社員
370,フューチャーワークス株式会社 | 年間休日125日以上／経験が浅くても安心のサポート体制◎,不動産業界の集客率UPに繋がる【法人提案営業】★導入実績多数！ 正社員
371,社会福祉法人 枚方療育園 | ビアンエトール恭愛【大阪府緊急雇用対策に賛同】月8日休み,★未経験歓迎★【生活支援員】※賞与年3回（実績5.35ヶ月分） 正社員
372,株式会社SSコーポレーション | ★1人1車体制★費用負担で大型免許の取得可能★長期休暇も充実,希望のスタイルを選べる！【ドライバー】※土日祝休・残業少なめ 正社員
373,村田建設株式会社 | 元請け案件が8～9割／業績好調／社会福祉法人等と直取引を実現,【建築施工管理】※月給30～40万円と安定水準 ※決算賞与もあり 正社員
374,株式会社SSコーポレーション | Glast(グラスト)/高級車から国産車まで幅広い車種/長期休暇あり,月給30万円スタート！【整備士】※前職給与を考慮！原則定時退社 正社員
375,株式会社桜井自動車教習所 | 日祝固定休み＋土曜日交代制／平均月収30万円／賞与4.2ヶ月分,一生モノのスキルが身につく!【教習指導員】※年休実質121日 正社員
376,"株式会社SSコーポレーション | ★平均有給取得日数10日★GW,夏季,年末年始休暇あり★未経験OK",自社サービスの魅力を広める♪【営業スタッフ】※残業少なめ 正社員
377,カンエツ興業株式会社 | 設立46年の総合建設会社 | 週休2日★賞与年2回★月給30万円～,【建築・土木施工管理】★夜間なし★残業なし★遠方なし！ 正社員
378,廣川電機株式会社 | カネカ、サントリーなど大手と直接取引／資格取得支援あり,未経験から始める【メンテナンススタッフ】☆月給22万円以上 正社員
379,サムティプロパティマネジメント株式会社 | 【東証一部上場100％出資企業】★大阪府緊急雇用対策に賛同,オーナー対応などの【不動産管理】★月給27万円～/年休125日以上 正社員
380,インフォシー株式会社 | ★グローバルベンチャー企業★年休120日以上★フレックス制あり,【ITエンジニア】前給保証！★残業10ｈ以下 ★副業OK ★手当充実 正社員
381,サイフォ株式会社 | ＼福岡トップクラスの知名度・実績があなたの営業活動を後押し／,収益用不動産の【売買仲介営業】年収1000万円も可/完全週休2日制 正社員
382,ソーシャルインクルー株式会社 | 今期も増収増益を更新◎将来性・安定性ともに業界トップクラス！,【管理部門スタッフ(請求窓口)】未経験歓迎／月給30万円以上 正社員
383,日本フォーミング株式会社 | ◆基本土日祝休み◆ほぼ定時退社 ◎未経験大歓迎！,【営業事務】ワークライフバランス重視でプライベートを大切に！ 正社員
384,ロビンスジャパン株式会社 | SUUMO 関東 注文住宅・工務店ランキング2016～2020年第1位,【反響営業】ショールームの輸入住宅アドバイザー◆月給30万円～ 正社員
385,株式会社マリーロード | 《ラシュレディアコート》週休二日／賞与年2回／男女共に活躍中,喜びと感動がいっぱい【ウエディングプランナー】◎未経験歓迎 正社員
386,株式会社ラングローブ | 未経験歓迎／月7-11日は休み／残業月10～20h程度／稼げる環境◎,定着率90％超！反響型の【提案営業】3年で年収800万以上も可能 正社員
387,株式会社ハウスクルーズ | 完全週休二日制/有給消化率100％/20代管理職歴あり,【ライフコンサルタント】未経験歓迎！高額インセンティブあり◎ 正社員
388,株式会社ツイテルホーム | 知識・経験必要無し│希望勤務地確約│土日祝休み,お金を払う営業！不用品の【買取営業】★1年目から月収50万可♪ 正社員
389,株式会社ベルハウス | 17年連続で増収増益！安定感は抜群 ★駅徒歩1分の好立地,【不動産営業】★完全週休2日制・未経験から年収800万円以上も！ 正社員
390,"有限会社B.T | 関西電力グループ""きんでん""協力企業／大阪府緊急雇用対策に賛同",【電気通信スタッフ】★未経験OK＆年間休日150日以上も可能！ 正社員
391,豊中機工株式会社 | ゴルフ場用芝刈り機などを取り扱う専門商社/土日祝休/年休125日,機械好きの方歓迎！芝刈り機の【メンテナンススタッフ】土日祝休 正社員
392,株式会社崎山組 | ＊1回の賞与で100万円の実績あり／男性の育児休暇取得実績あり＊,キャリアUP＆月収60万円も可能【機械オペレーター】★年休122日 正社員
393,株式会社トワードセントラル | 業績安定の食品配送／シフトも柔軟に組める◎/福利厚生が充実！,【ルート配送ドライバー】未経験でも月給29万円以上！賞与2回！ 正社員
394,株式会社GRAST | 都内8店舗展開！◎寮完備！◎安定収入がいい！,3つの働き方から選べる【店舗STAFF】月給30万円可/賞与年4回★ 正社員
395,株式会社Rush up | 成長率200％超えの成長企業【大阪府緊急雇用対策に賛同】,商品力があるから売りやすい！成果はインセンに直結！【営業】 正社員
396,株式会社エイトハウジング | 安心のWEB面接実施中！昇給は年4回　※大阪府緊急雇用対策に賛同,＼未経験デビューを応援／【アドバイザー】※土日祝休・定時退社 正社員
397,株式会社エム・シー・ピー | ★基本定時退社★正当評価で年収1000万円も可能★昇給年4回,★残業なし★最大18連休！メリハリつけて働ける【積算スタッフ】 正社員
398,株式会社Rush up | 成長率200％超えの成長企業【大阪府緊急雇用対策に賛同】,自分だけのキャリアを築く 【企画営業】★1年以内に昇格多数！ 正社員
399,株式会社ハンズ | 残業ほぼ無し★賞与200万円以上の支給実績有★未経験から挑戦可,【フィールドエンジニア】未経験歓迎◆賞与4カ月分◆学歴不問 正社員
400,株式会社シュテルン葛飾 | メルセデンス・ベンツ正規ディーラー/年休110日/毎月インセン,未経験歓迎！基礎から学んで成長できる【営業】★20代活躍中 正社員
401,法成寺運輸株式会社 | 最近も未経験から20・30代の社員が入社★1年目で月収40万円可能,未経験OK【 4t・10tドライバー 】◎大型免許取得支援あり 正社員
402,株式会社ケーシーエス・エス | 大阪を中心とした近畿一円で活躍／【大阪府緊急雇用対策に賛同】,入社2年目の平均月収40万円◎しっかり稼げる【ドライバー】 正社員
403,株式会社ONE | ◆月給30万円＆インセンティブで高収入 ◆面接時の交通費支給,成約率が魅力！未経験のアナタもできる【買取営業】完全土日休み 正社員
404,西日本高速道路エンジニアリング中国株式会社 | 【NEXCO西日本グループ】◎年収600万円以上も目指せます！,【土木技術者(管理・点検・設計など)】◎年休120日×完全週休2日 正社員
405,株式会社Alba Link | 住宅手当あり／20～30代活躍中！～個人の成長が企業の成長に～,"100％完全反響型の【不動産営業】＊平均年収1,000万円以上～＊ 正社員"
406,株式会社スカーラサポート | 《面接1回》《社員の9割が月給30万円以上実現》《普通免許でOK》,【レッカーサービススタッフ】◎年齢不問 ◎福岡限定募集 正社員
407,厚木瓦斯株式会社 | ＜厚木ガス＞安定経営／土日休＆残業少なめでプライベートも両立,ガス・電気の【営業】未経験歓迎＆月給28万円以上／厚木市密着 正社員
408,株式会社四国軽貨物 | 東京支店・登録無料・日払いOK・リース車両2ヶ月無料・車検無料,【軽貨物ドライバー】湾岸エリアの案件充実！70万円以上も可能！ 業務委託
409,株式会社BRUTUS | 人気タレント所属★TikTokやYouTuberとの仕事も多数★土日祝休み,＼エンタメ業界でキャリアUP！／【企画営業】★未経験歓迎★ 正社員
410,有限会社プロパティ | ◆企業理念は「三方よし」相手よし、自分よし、みんなよし。,未経験からしっかり稼げる【不動産仕入れ】◎女性活躍中！ 正社員
411,株式会社Nexus Consulting | 完全週休2日制(土日祝休)*リモートワーク導入*服装自由(私服OK),未経験から成長できる【コンサルタント】★残業なし★前給保証！ 正社員
412,京和ブロンズ株式会社 | 【設立50年以上／青銅インゴットのメーカー】＊残業なし＊,【製造スタッフ（生産）】★昨年度賞与4ヶ月分 ★年休120～125日 正社員
413,株式会社ウルテック | ★設立45年 ★未経験でも月給25万円以上 ★完全週休2日制,分譲住宅の仕入・企画・販売を手掛ける【営業職】★未経験大歓迎 正社員
414,株式会社ひらぎの | 未経験から高収入が目指せる！UIターン支度金（10～20万円）あり,モデルルームへの来店者やお客様からの紹介が中心の【反響営業】 正社員
415,ＡＲＫ　ＣＯＮＳＵＬＴＩＮＧ株式会社 | 大手コンサルからのスピンアウト/未経験・ITエンジニア出身歓迎,【SAPコンサルタント】最新テクノロジーで企業の課題を解決する 正社員
416,株式会社セルモ | ＜セルモグループ＞冠婚葬祭業界のリーディングカンパニー,あなたの夢や高収入が叶う！経験に関係なく活躍できる【営業】 正社員
417,株式会社カーネルジャパン | 【高水準のインセンあり】★土日祝休み★有給取得率◎＝連休もOK,未経験からチャレンジOK【人材コーディネーター】★年休125日～ 正社員
418,株式会社fosbury | 【ベストベンチャー100選出企業】#コロナ禍でも連続増収増益中！,公的機関主催の超大型イベントも手がける【イベントプランナー】 正社員
419,株式会社エナジーシステム | #インセンティブ支給あり！ #月20万円以上のインセン獲得者も！,【販売・接客スタッフ】★未経験歓迎！★20・30代活躍 正社員
420,株式会社九神ファームめむろ | 『 町のおかずやさん クックチャム 』を展開しています！,★女性社員が活躍中★【 店舗運営 】*料理が好きな方は大歓迎 正社員
421,株式会社ベクタークラフト | 大阪府緊急雇用対策に賛同/アルミ建材の専門メーカー/年休125日,優良メーカーで経験を発揮！【設計スタッフ(CAD)】月給28万円～ 正社員
422,株式会社かまとり住宅 | 設立以来右肩上がりの成長！千葉県に根付き数多くの不動産を扱う,未経験でも安心の100%問い合わせ対応！【不動産営業】 正社員
423,株式会社建築資料研究社 | 景気に左右されない！資格系スクール「日建学院」を運営,★横浜/武蔵小杉/藤沢募集★【ライセンスアドバイザー】 正社員
424,ネッカート株式会社 | ■遠方応募歓迎 / 社宅＆寮完備・引越費用負担 ■WEB面接実施中,【技術系総合職】★月給21万円～ ★完全週休2日&年休120日以上 正社員
425,株式会社ACE one | 年間休日122日｜毎月の歩合給で収入もアップ｜ノルマなし,初年度年収100万UPの先輩も！人と企業を繋ぐ【法人営業】 正社員
426,タウンクロス株式会社 | 賞与5～6か月支給実績あり！★12年連続増収増益の安定基盤★,【消防設備士】月給30万円スタート！経験者優遇♪ 正社員
427,株式会社リープ | 越谷営業所が新オープン！成長性バツグンの地域密着不動産会社,月給28万円＋高額インセンあり★社有の土地を販売する【営業】 正社員
428,株式会社ジャムジャムエクスプレス | 【アプライジンググループ】★大型二種免許をお持ちの方面接保証,上京も歓迎♪寮費は光熱費込み3万円！【乗務員】★月給40万円～ 正社員
429,株式会社ケーシーエス | 未経験OK/転勤なし/普通免許のみで応募OK/完週休2日の働き方も可,【総合職（ドライバー／運行管理）】社員の平均月収は40万円！ 正社員
430,株式会社ティ・ユー・メタル | 【 業績安定 】” 地元でずっと働く ” が叶う場所。,＊未経験歓迎＊【 作業スタッフ 】土日休み／平均月収30万円～ 正社員
431,株式会社シティ・ハウジング | 『100年企業』×『エリアNo.1』を目指す総合不動産会社！,未経験からSTARTできる【ルームアドバイザー】★個人ノルマなし 正社員
432,神戸不動産リアルティ株式会社 | 転職して収入が3倍になった先輩も/年3回の長期休暇/10連休も可能,【不動産の営業スタッフ】※未経験でも月給25万円～／研修充実 正社員
433,株式会社アクト | ＼賞与は4～5ヶ月分を支給／残業は月平均10時間ほどです,道路や河川などの社会インフラに関わる【施工管理】★年休113日 正社員
434,システム・メイトグループ合同募集 | 創業50年以上の安定企業｜SE出身社長の「エンジニアファースト」,経験者優遇！★前職給を考慮＋リモートあり★ の【SE/PG】 正社員
435,株式会社ジョンソンホームズ | ◆業界/職種未経験歓迎 ◆20~30代活躍中! ◆原則定時退社OK,個性溢れる自由な【新築営業】★賞与年3回/インセンティブあり◎ 正社員
436,株式会社みらいサポート | ＜業績拡大につき複数採用！同期有り＞★丸の内駅より徒歩1分,【営業】★完全土日祝休み／残業月20H以内／飛び込み営業なし 正社員
437,株式会社ディー・オー・エス | 国内大手メーカーとも多数取引あり【大阪府緊急雇用対策に賛同】,《求ム！開発経験者》手厚い待遇で歓迎！【PG・SE】※残業16.1h 正社員
438,株式会社レイドバック | ★月収58万円以上可★土日勤務のみのWワークもOK★女性も活躍中,平均月収40万円！【軽車両の配送ドライバー】 ◆未経験歓迎 業務委託
439,株式会社クインオート | 事業領域を広げ続ける「ジーライオングループ」の中核企業,質の良い中古車の【仕入れ・オークション担当スタッフ】未経験OK 正社員
440,大東建託株式会社 | 【三宮支店】東証一部上場/年休125日/週休２日/フレックス制,実績は業界1位！紹介を介して企業と関係性を深める【法人営業】 正社員
441,株式会社コスモメンテナンス | 賞与年3回／残業少なめ／京都本社／転勤なし／西院駅近,【消防設備の点検】未経験でも1年後には年収500万円以上可◎ 正社員
442,富国運輸株式会社 | 月給40万円以上も可！無事故手当(月最大7万円)など環境充実！,未経験OK！食品の【タンクローリードライバー】月給40万円～ 正社員
443,株式会社福島興業 | 都市銀行や官公庁から信頼を頂く企業※大阪府緊急雇用対策に賛同,土日休み！未経験からのスタートをサポート！【営業スタッフ】 正社員
444,株式会社建築資料研究社 | 景気に左右されない！資格系スクール「日建学院」を運営,★福岡/熊本/大分/宮崎/鹿児島募集★【ライセンスアドバイザー】 正社員
445,株式会社マルキ | 大阪府緊急雇用対策に賛同／年収800万円超も可能／駅から徒歩2分,【提案営業】★未経験でも月給24万円～＋賞与最大”年3回”！ 正社員
446,株式会社ぜん | 《前職給与保障》社員思いの社風で定着率◎幅広い業務に携わる！,月給28万～！手に職をつけて働ける【 リフォームの工事作業 】 正社員
447,有限会社小南機工,【建築現場での設備機器搬入・設置】未経験でも月収30万円以上可 正社員
448,株式会社創建地所 | 【創建グループ】即日入社歓迎！大阪府緊急雇用対策に賛同,理想を住まいを創る【住宅コーディネーター】年収500万円以上！ 正社員
449,株式会社エム・シー・ピー | ★年齢不問★連続休暇取得も可★資格取得支援有★20～50代活躍中,【マンション修繕の施工管理】年収1000万円も可能/昇給年4回実績 正社員
450,エイトリンク株式会社 | 毎月インセンティブあり！博多駅徒歩7分★5日以上の連休取得可能,【営業】福岡から転勤なし★成約率70％★未経験OK★月給25万円～ 正社員
451,株式会社エヴァ・ライフ | ＼ 高収入が目指せます ／インセンティブが10万円を超える月も?!,今後の拡大に期待大！【 福祉用具のルート営業 】*新店舗もOPEN 正社員
452,鳥羽建設株式会社 | 滋賀本社／利益は社員に還元⇒賞与平均4ヶ月分以上／週休2日制,平均年収600万円【施工管理アシスタント】未経験で月給25万円～ 正社員
453,株式会社建築資料研究社 | コロナ禍でも強い！資格系スクール「日建学院」を運営,★奈良募集★【総合職(資格取得アドバイザー/システム営業)】 正社員
454,大東建託株式会社 | 【東証一部・名証一部上場】フレックスタイム制で働きやすさ◎,【提案営業】★業界TOPクラスのインセンティブ・待遇・評価制度 正社員
455,株式会社建築資料研究社 | コロナ禍でも強い！資格系スクール「日建学院」を運営,★秋田限定募集★【ライセンスアドバイザー】未経験歓迎 正社員
456,有限会社新潟機械商行 | ★社用車貸与＆ガソリンカード支給★長期1週間ほどの休暇もOK★,【進行管理スタッフ】未経験でも月給25万円スタート★年113日休 正社員
457,株式会社三友社 | 【創業60年以上】インセンティブのみで月150万円も可能(実績有),月給27万円以上★完全週休2日制★残業月5h程度【不動産営業】 正社員
458,株式会社建築資料研究社 | 景気に左右されない資格系スクール『日建学院』を運営,★愛媛募集★【総合職(資格取得アドバイザー/システム営業)】 正社員
459,能丸政孝税理士事務所 | 北九州で創業30年以上の歴史！土日祝休みでプライベートの両立◎,【税理士アシスタント】実務未経験者OK！転勤なし！ 正社員
460,株式会社西家 | ◆大型連休年3回(GW/夏季/年末年始)→最大9連休 ◆週休2日制,若手活躍中★ON/OFF充実★月給30万円以上【営業】※残業月0~10h 正社員
461,株式会社山王 | 【新拠点オープニングメンバー大募集！】◎年間休日117日,”商品説明”で高収入♪【PRスタッフ】※鹿児島限定募集 正社員
462,株式会社ＮＥＯ | <大阪府緊急雇用対策に賛同>年休120日／土日祝休み／残業少なめ,完全在宅ワーク【木造構造設計業務管理】賞与の昨年実績5ヶ月分 正社員
463,株式会社コネクト | 年間休日120日／転勤なし／賞与年3回／1年目から高収入を実現可,【法人営業職】土日祝休／20～30代活躍中／毎月昇給・昇格査定有 正社員
464,ジブラルタ生命保険株式会社│子育てサポート企業＊福利厚生充実＊キャリア支援,【ライフプラン・コンサルタント】未経験歓迎＊土日祝休＊裁量大 正社員
465,大阪運輸株式会社 | #大阪府緊急雇用対策に賛同 #1ヶ月目から月収30万円以上が可能,新拠点OPEN！国内の重要拠点で働けるチャンス！【倉庫スタッフ】 正社員
466,明和テクノス株式会社 | ★日清製粉、はごろもフーズなど取引先は大手食品メーカーも!!,人気のお菓子の製造にも携わる【ステンレス・製缶板金スタッフ】 正社員
467,Tree Company株式会社 | 大阪府緊急雇用対策に賛同｜男女不問／土日休み,セルフエステFC事業の問い合わせ【営業】 ※未経験歓迎 正社員
468,臨海建設株式会社 | ＼公共案件100％／総合土木業として愛媛に貢献！＜面接1回のみ＞,初年度年収500万円以上目指せる！【土木施工管理】※転勤なし 正社員
469,株式会社ノードコムターミナル | 【高インセン有】★土日祝休み★残業少なめ★面接1回★20代中心,＼未経験から挑戦OK／【人材コーディネーター】★年休125日以上 正社員
470,有限会社大野組 | ＊資格取得を会社全額負担で応援！給与UPも実現します＊,1日3件ほど担当！近距離のみの【配送ドライバー】★普免で応募OK 正社員
471,株式会社65ファイナンス | 外資系金融機関でトップセールスだった経営陣によるスタートUP,【コンサルティング営業】★高額歩合あり★1日の実働平均5.5時間 正社員
472,株式会社マリーロード | 《「玉泉院」「ラシュレディアコート」を運営》◆残業ほぼなし！,地域密着！営業所の【管理スタッフ】※未経験歓迎／月給28万円～ 正社員
473,株式会社SPEED | 【未経験歓迎】ご経験やスキルに応じて給与もUP♪宅建所持歓迎！,【 不動産事務/契約業務】週休2日＆残業ほぼ0/月給30万円～ 正社員
